Month,Day,Day of Week,Hour,Occupancy
12,30,6,0,3.375
12,30,6,1,2.75
12,30,6,2,1.625
12,30,6,3,0.75
12,30,6,4,0.25
12,30,6,5,0.375
12,30,6,6,1.5
12,30,6,7,5.25
12,30,6,8,3.125
12,30,6,9,4.125
12,30,6,10,3.75
12,30,6,11,4.25
12,30,6,12,4.125
12,30,6,13,4.625
12,30,6,14,4.25
12,30,6,15,4.875
12,30,6,16,3.375
12,30,6,17,3.625
12,30,6,18,4.125
12,30,6,19,2.75
12,30,6,20,3.75
12,30,6,21,3.75
12,30,6,22,3.875
12,30,6,23,4.25
12,31,0,0,3.0
12,31,0,1,2.375
12,31,0,2,1.875
12,31,0,3,1.0
12,31,0,4,0.25
12,31,0,5,0.375
12,31,0,6,0.75
12,31,0,7,1.25
12,31,0,8,1.125
12,31,0,9,2.0
12,31,0,10,2.125
12,31,0,11,3.375
12,31,0,12,3.875
12,31,0,13,3.875
12,31,0,14,3.75
12,31,0,15,4.625
12,31,0,16,4.125
12,31,0,17,3.75
12,31,0,18,5.125
12,31,0,19,5.625
12,31,0,20,6.125
12,31,0,21,6.625
12,31,0,22,7.375
12,31,0,23,4.875
